WRN 2026-04-15T18:00:01.725 ui.237912  tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-04-15T18:00:01.725 ui.237912  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-15T18:00:01.726 ui.237912  tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-04-15T18:00:01.726 ui.237912  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-15T18:00:01.726 ui.237912  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-15T18:00:53.206 ui.238983  tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-04-15T18:00:53.206 ui.238983  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-15T18:00:53.206 ui.238983  tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-04-15T18:00:53.206 ui.238983  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-15T18:00:53.206 ui.238983  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-15T18:01:08.331 ui.239373  tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-04-15T18:01:08.332 ui.239373  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-15T18:01:08.332 ui.239373  tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-04-15T18:01:08.332 ui.239373  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-15T18:01:08.332 ui.239373  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-15T18:01:49.426 ui.240231  tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-04-15T18:01:49.426 ui.240231  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-15T18:01:49.426 ui.240231  tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-04-15T18:01:49.426 ui.240231  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-15T18:01:49.426 ui.240231  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-15T18:03:57.808 ui.244459  tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-04-15T18:03:57.808 ui.244459  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-15T18:03:57.808 ui.244459  tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-04-15T18:03:57.808 ui.244459  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-15T18:03:57.808 ui.244459  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-15T18:04:22.517 ui.245029  tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-04-15T18:04:22.517 ui.245029  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-15T18:04:22.517 ui.245029  tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-04-15T18:04:22.517 ui.245029  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-15T18:04:22.517 ui.245029  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
